h3_index,poi_category,poi_count,count_poi_types,poi_type_list,poi_list
8826641b23fffff,civic_community,3,1,"place_of_worship, place_of_worship, place_of_worship","Community Christian Church of Chicago, Community Christian Church Annex, St. Francis de Sales Parish"
8826641b23fffff,education,2,1,"school, school","Saint Francis de Sales High School, Saint Francis De Sales Grade School"
8826641b23fffff,finance,1,1,pawnbroker,Big Pawn
8826641b23fffff,food_drink,2,1,"restaurant, restaurant","Tamales Y Restaurant Costa Grande, Route 66 Pizza"
8826641b23fffff,grocery,2,2,"bakery, supermarket","Gerardo's Bakery, El Tapatio"
8826641b23fffff,services,5,5,"post_office, laundry, beauty, hairdresser, funeral_directors","The UPS Store, A & G Laundromat, Lucha's Beauty Shop, New York Barber Shop, Griesel Jimenéz Stodden Funeral Home"
8826641b23fffff,shopping,2,2,"furniture, florist","Jalisco Furniture, Sandela's Flower Shop"
8826641b23fffff,transport,2,1,"bicycle_rental, bicycle_rental","Calumet Park, Ewing Ave & Burnham Greenway"
8826641b25fffff,automotive,1,1,car_parts,Commercial Auto Supply
8826641b25fffff,civic_community,1,1,place_of_worship,Debretsion Medhanealem Ethiopian Orthodox Tewahedo Church
8826641b25fffff,education,1,1,childcare,Mari's Bumble Bee Academy
8826641b25fffff,food_drink,2,1,"restaurant, restaurant","Mariscos El Malecon, Taquería Picazo"
8826641b25fffff,grocery,2,2,"alcohol, supermarket","Lopez Liquors, La Feria Groceries"
8826641b25fffff,nightlife,2,1,"bar, bar","Jovial Club, Frank's Tap & Grill"
8826641b25fffff,services,1,1,hairdresser,Chanty & Mom Hair Studio
8826641b29fffff,civic_community,1,1,police,Chicago Police/Cook County Helicopter Task Force
8826641b2dfffff,automotive,1,1,car_repair,Gornick's Auto Rebuilders
8826641b2dfffff,civic_community,1,1,social_facility,Victory Centre of South Chicago
8826641b2dfffff,education,1,1,childcare,Restoring the Seed Childcare
8826641b2dfffff,entertainment,1,1,artwork,Sims Metal Management Mural
8826641b2dfffff,food_drink,2,2,"restaurant, fast_food","Calumet Fisheries, Skyway Doghouse"
8826641b35fffff,automotive,1,1,car_parts,O'Reilly Auto Parts
8826641b35fffff,civic_community,1,1,information,Welcome to Indiana
8826641b35fffff,education,1,1,school,Edward Sadlowski Elementary School
8826641b35fffff,food_drink,6,2,"restaurant, fast_food, fast_food, fast_food, fast_food, fast_food","Birrieria Ocotlan, Burger King, KFC, McDonald's, Subway, Pizza Hut Delivery"
8826641b35fffff,grocery,1,1,supermarket,Aldi
8826641b35fffff,nightlife,1,1,bar,Crow Bar Inc
8826641b35fffff,services,4,4,"hairdresser, laundry, storage_rental, beauty","The Trim Barbershop, Blue Kangaroo Coin Laundry, iStorage, Urmi Salon And Spa"
8826641b35fffff,shopping,2,2,"mobile_phone, variety_store","Metro by T-Mobile, Family Dollar"
8826641b35fffff,transport,1,1,bicycle_rental,Burnham Greenway & 105th St
8826641b61fffff,entertainment,1,1,artwork,Tribute to the Past
8826641b61fffff,transport,1,1,bicycle_rental,Steelworkers Park
8826641b65fffff,civic_community,1,1,social_facility,
8826645201fffff,education,2,2,"library, school","Garfield Ridge Branch Library, Saint Jane de Chantal School"
8826645201fffff,entertainment,3,1,"artwork, artwork, artwork","American Eagle, American Eagle, American Eagle"
8826645201fffff,finance,3,2,"atm, bank, bank","Bank of America, Huntington Bank, Bank of America"
8826645201fffff,food_drink,3,3,"fast_food, restaurant, ice_cream","Wingstop, Home Run Inn Pizzeria, Andy's Frozen Custard"
8826645201fffff,grocery,1,1,bakery,Racine Bakery
8826645201fffff,shopping,1,1,variety_store,Family Dollar
8826645203fffff,civic_community,1,1,place_of_worship,Garfield Ridge Presbyterian Church
8826645203fffff,education,1,1,school,Kinzie Elementary School
8826645205fffff,civic_community,1,1,place_of_worship,Saint Daniel the Prophet Roman Catholic Church
8826645205fffff,education,2,1,"school, school","Saint Daniel School, Byrne Elementary School"
8826645207fffff,automotive,1,1,car_repair,Jiffy Lube
8826645207fffff,civic_community,2,2,"fire_station, place_of_worship","Chicago Fire Department Engine Company 32, Garfield Ridge Baptist Church"
8826645207fffff,education,2,1,"school, school",Kennedy High School
8826645207fffff,entertainment,1,1,artwork,CPD Officer Ella French
8826645207fffff,finance,1,1,bank,Archer Heights Credit Union
8826645207fffff,food_drink,4,2,"fast_food, fast_food, fast_food, restaurant","The Shrimp Shack, McDonald's, Dunkin', Lindys Chili"
8826645207fffff,grocery,3,2,"bakery, convenience, convenience","Pticek’s & Son Bakery, 7-Eleven, Shell"
8826645207fffff,health,2,2,"veterinary, clinic","Abbot Animal Hospital, MacNeal Healt Care Center"
8826645207fffff,nightlife,1,1,bar,Tom’s Tap
8826645207fffff,shopping,2,2,"gift, bicycle","Midway Crystals, Carmen's Bicycles"
8826645207fffff,transport,1,1,fuel,Shell
882664520bfffff,automotive,2,2,"tyres, car_repair","Bridgestone, Firestone"
882664520bfffff,civic_community,5,2,"place_of_worship, information, place_of_worship, place_of_worship, place_of_worship","Gloria Dei Evangelical Lutheran Church, Chicago Midway International Airport, Risen Savior Assembly Church, Bethel Reformed Church, Saint Jane de Chantal Roman Catholic Church"
882664520bfffff,education,1,1,school,Gloria Dei School
882664520bfffff,finance,1,1,bank,Huntington Bank
882664520bfffff,food_drink,4,3,"fast_food, ice_cream, restaurant, fast_food","Subway, La Michoacana Gourmet, Bree Thai, KFC"
882664520bfffff,grocery,2,2,"convenience, supermarket","7-Eleven, Jewel-Osco"
882664520bfffff,health,1,1,dentist,Alta Dental
882664520bfffff,nightlife,1,1,bar,Stan’s Corner & Helen’s Kitchen
882664520bfffff,services,4,4,"hairdresser, post_office, funeral_directors, storage_rental","Supercuts, The UPS Store, Parkside Chapel, Midway Storage"
882664520bfffff,shopping,5,4,"mobile_phone, mobile_phone, clothes, chemist, paint","Metro by T-Mobile, T-Mobile, Peaches Boutique, Walgreens, Sherwin-Williams"
8826645211fffff,automotive,1,1,car_parts,ASM Auto Parts
8826645211fffff,civic_community,1,1,fire_station,Chicago Fire Department Engine Company 127
8826645211fffff,education,1,1,flight_school,Aviation Professionals Incorporated
8826645211fffff,finance,2,1,"bank, bank","Chicago Firefighters Credit Union, Fifth Third Bank"
8826645211fffff,food_drink,2,1,"cafe, cafe","Karolinka Club, Xurro"
8826645211fffff,grocery,1,1,bakery,La Petite Pastry
8826645213fffff,education,2,1,"school, school","Robert L. Grimes Elementary School, John Hancock High School"
8826645215fffff,automotive,1,1,car_parts,Carquest
