h3_index,poi_cat_automotive,poi_cat_civic_community,poi_cat_education,poi_cat_entertainment,poi_cat_finance,poi_cat_food_drink,poi_cat_grocery,poi_cat_health,poi_cat_leisure_sports,poi_cat_lodging,poi_cat_nightlife,poi_cat_services,poi_cat_shopping,poi_cat_transport
882664c8d5fffff,0,7,2,0,5,1,4,2,1,0,2,0,8,2
882664c8d7fffff,0,2,2,5,1,3,2,0,0,0,0,0,1,1
882664c8d9fffff,1,8,9,1,4,5,1,2,0,0,0,0,3,3
882664c8dbfffff,0,6,1,1,0,1,0,0,0,0,0,0,0,1
882664c8ddfffff,0,11,4,2,0,1,2,0,0,0,0,0,0,2
882664c8ebfffff,0,1,0,0,0,0,0,0,0,0,0,0,0,0
882664c959fffff,0,0,0,0,1,1,0,3,0,0,0,1,2,1
882664ca01fffff,1,2,3,1,4,13,8,1,0,0,7,2,2,3
882664ca03fffff,0,7,3,7,2,26,10,7,2,0,8,8,14,1
882664ca05fffff,1,3,3,2,0,8,5,3,0,0,3,2,5,2
882664ca07fffff,1,1,0,9,1,5,5,0,0,0,1,3,2,1
882664ca09fffff,4,0,1,1,3,15,6,0,0,0,0,4,9,5
882664ca0bfffff,2,2,4,0,1,11,5,1,0,0,4,5,4,6
882664ca0dfffff,2,0,1,0,0,6,3,0,0,0,4,0,0,1
882664ca11fffff,3,6,2,1,5,36,13,3,0,0,22,15,20,8
882664ca13fffff,1,14,4,3,1,27,7,3,1,0,4,3,6,3
882664ca15fffff,2,11,4,4,1,19,4,4,2,0,4,3,6,3
882664ca17fffff,0,7,2,2,1,19,1,2,0,0,7,2,5,3
882664ca19fffff,2,4,3,1,0,15,2,1,1,0,1,3,6,9
882664ca1bfffff,0,3,2,0,2,20,8,2,1,1,6,7,6,3
882664ca1dfffff,1,4,3,2,0,38,7,4,0,0,6,11,21,5
882664ca21fffff,2,4,1,0,0,7,5,0,0,0,0,2,5,2
882664ca23fffff,4,2,1,0,1,7,2,0,0,0,0,1,3,3
882664ca25fffff,1,3,0,0,0,4,3,1,0,0,0,0,1,1
882664ca27fffff,1,4,4,0,3,3,0,1,0,1,0,0,1,2
882664ca29fffff,1,3,1,0,0,3,2,1,0,0,0,1,0,3
882664ca2bfffff,0,2,1,1,1,6,3,3,0,0,0,1,2,2
882664ca2dfffff,0,0,3,0,0,0,2,0,0,0,0,1,0,3
882664ca31fffff,0,5,4,0,0,2,5,0,0,0,2,1,2,2
882664ca33fffff,1,7,2,1,1,0,4,1,0,0,1,1,2,1
882664ca35fffff,0,2,0,1,0,4,5,1,0,0,0,2,3,2
882664ca37fffff,0,5,2,0,2,3,1,0,0,0,0,0,4,1
882664ca39fffff,3,6,6,2,0,15,13,7,1,1,1,3,14,1
882664ca3bfffff,3,3,1,5,1,6,8,1,0,0,3,1,2,1
882664ca3dfffff,2,3,1,0,1,3,4,0,0,0,1,1,2,4
882664ca41fffff,2,3,0,0,0,6,9,1,0,0,6,0,4,2
882664ca43fffff,0,6,3,0,3,11,3,1,0,0,7,3,6,3
882664ca45fffff,2,3,2,0,1,3,2,1,0,0,0,2,3,1
882664ca47fffff,1,3,3,0,1,6,3,0,0,0,2,0,3,2
882664ca49fffff,0,2,0,1,0,14,6,0,1,0,1,0,1,2
882664ca4bfffff,0,4,2,0,0,4,4,1,5,0,1,1,1,3
882664ca4dfffff,0,9,1,2,1,12,5,1,0,0,0,2,3,1
882664ca51fffff,1,2,4,3,2,18,3,4,0,0,2,5,6,2
882664ca53fffff,1,2,3,2,0,1,4,1,0,0,1,4,5,2
882664ca55fffff,0,2,0,1,1,6,1,2,3,0,1,2,8,2
882664ca57fffff,1,2,2,6,0,10,4,1,2,0,7,0,2,2
882664ca59fffff,0,6,3,0,2,10,2,4,0,0,4,7,8,2
882664ca5bfffff,1,4,2,3,0,18,3,2,0,0,5,5,6,3
882664ca5dfffff,0,2,3,1,0,5,0,2,0,0,2,1,3,3
882664ca61fffff,2,4,0,0,2,6,2,1,0,0,2,0,5,1
882664ca63fffff,1,3,2,0,0,2,0,0,1,0,1,2,0,2
882664ca65fffff,1,3,1,6,6,21,3,18,1,1,1,11,16,2
882664ca67fffff,4,4,3,1,0,9,1,1,0,0,1,5,4,1
882664ca69fffff,2,4,2,0,1,10,3,0,0,0,1,1,3,3
882664ca6bfffff,3,6,1,2,1,11,3,1,0,0,3,3,6,4
882664ca6dfffff,1,3,0,1,0,0,2,0,0,0,4,1,0,4
882664ca81fffff,1,1,2,2,1,8,5,0,0,0,0,1,0,4
882664ca83fffff,0,6,6,0,2,7,1,2,0,0,0,1,1,1
882664ca85fffff,0,2,3,2,0,1,1,0,0,0,0,0,1,3
882664ca87fffff,0,7,4,3,2,2,0,0,0,0,1,4,3,1
882664ca89fffff,0,4,4,6,3,22,3,2,0,0,4,2,7,3
882664ca8bfffff,3,4,4,4,0,2,3,0,0,0,3,0,3,3
882664ca8dfffff,5,2,2,2,2,7,4,5,0,0,3,7,7,2
882664ca91fffff,0,4,3,4,1,29,6,4,0,2,5,1,1,5
882664ca93fffff,0,7,1,1,0,2,1,1,0,0,1,1,0,2
882664ca95fffff,0,4,6,2,0,17,1,10,0,3,0,1,1,3
882664ca97fffff,0,9,5,0,5,3,1,2,0,0,0,1,3,4
882664ca99fffff,2,6,7,4,1,2,3,3,0,0,0,2,3,8
882664ca9bfffff,0,5,7,6,1,27,2,0,1,0,1,2,3,3
882664ca9dfffff,1,2,3,5,0,8,1,6,0,1,5,0,1,4
882664caa1fffff,0,2,3,2,0,2,1,0,0,0,1,1,1,3
882664caa3fffff,0,7,1,0,0,0,1,2,0,0,0,0,1,4
882664caa5fffff,1,8,4,0,4,2,2,1,0,0,0,3,9,3
882664caa7fffff,0,5,2,0,0,1,3,0,0,0,0,0,0,3
882664caa9fffff,0,6,4,2,0,1,2,3,0,0,1,0,1,1
882664caabfffff,0,11,6,0,1,0,0,0,0,0,0,0,4,2
882664caadfffff,0,19,1,5,0,1,0,1,0,0,0,0,0,1
882664cab1fffff,0,12,2,0,1,2,0,3,0,0,0,0,1,1
882664cab3fffff,0,1,1,55,0,1,0,1,0,0,0,0,1,1
882664cab5fffff,1,7,4,0,1,3,1,0,0,0,0,0,1,3
882664cab7fffff,0,8,3,1,0,0,0,0,0,0,0,0,0,3
882664cab9fffff,1,1,2,0,0,2,1,0,0,0,1,0,0,2
882664cabbfffff,1,5,1,0,0,10,4,0,0,0,0,0,1,3
882664cabdfffff,1,13,5,1,0,2,2,1,0,0,0,0,2,4
882664cac1fffff,1,6,4,1,7,83,7,6,0,1,18,19,51,4
882664cac3fffff,2,3,3,3,0,42,9,5,0,2,10,4,5,7
882664cac5fffff,3,10,5,0,2,18,4,5,1,0,1,2,5,3
882664cac7fffff,0,9,8,4,1,18,1,6,0,0,11,5,5,3
882664cac9fffff,5,6,5,1,0,8,2,1,0,1,5,4,3,3
882664cacbfffff,1,4,6,4,2,32,8,5,2,0,2,9,24,4
882664cacdfffff,3,14,3,5,2,29,6,3,4,1,9,9,27,7
882664cad1fffff,2,2,3,1,1,20,4,0,0,0,4,0,6,2
882664cad3fffff,0,2,6,6,9,127,16,12,1,5,24,37,40,16
882664cad5fffff,3,5,6,3,0,20,6,1,0,0,7,2,6,5
882664cad7fffff,0,7,3,4,1,26,4,3,1,0,5,0,2,7
882664cad9fffff,1,2,4,3,1,5,2,3,0,0,2,2,3,3
882664cadbfffff,2,1,0,2,1,20,3,3,0,0,10,7,4,3
882664caddfffff,0,3,2,2,0,13,2,0,0,0,3,3,4,2
882664cae1fffff,1,3,1,3,0,0,0,2,0,0,0,0,0,1
882664cae3fffff,0,1,2,0,3,7,1,0,0,0,1,1,7,2
882664cae5fffff,3,7,2,0,0,0,2,1,0,0,0,0,0,2
882664cae7fffff,0,9,1,0,0,6,5,1,0,0,1,3,8,1
882664cae9fffff,0,5,2,3,0,5,2,1,0,0,2,1,1,2
882664caebfffff,0,2,5,3,2,12,6,2,0,0,3,4,7,3
882664caedfffff,0,7,2,13,3,12,6,1,0,0,1,1,6,3
882664cb01fffff,0,3,1,0,0,1,0,0,0,0,0,0,0,1
