geoid10,poi_cat_automotive,poi_cat_civic_community,poi_cat_education,poi_cat_entertainment,poi_cat_finance,poi_cat_food_drink,poi_cat_grocery,poi_cat_health,poi_cat_leisure_sports,poi_cat_lodging,poi_cat_nightlife,poi_cat_services,poi_cat_shopping,poi_cat_transport
17031100500,2,6,3,0,3,3,2,1,0,0,0,0,2,2
17031100600,2,2,1,0,0,9,4,2,0,0,0,2,2,1
17031100700,0,2,2,0,1,1,0,1,0,0,0,0,1,0
17031110100,1,3,0,0,2,5,3,1,0,0,1,2,0,3
17031110200,3,2,1,2,5,8,6,13,0,0,3,7,7,2
17031110300,2,4,0,0,3,3,3,0,1,0,2,4,0,2
17031110400,3,3,2,0,0,1,2,3,0,0,1,3,1,1
17031110501,0,1,2,1,0,1,0,2,0,0,0,0,2,1
17031110502,0,5,2,4,4,13,3,2,0,0,2,8,6,3
17031120100,0,10,2,2,1,2,0,2,0,1,0,3,3,1
17031120200,2,4,4,1,1,10,6,2,0,0,1,10,9,5
17031120300,0,5,3,0,3,5,0,2,0,0,0,3,0,1
17031120400,1,4,0,0,0,4,3,0,0,0,1,1,0,3
17031130100,4,8,7,3,1,15,1,4,2,3,0,5,10,4
17031130200,2,4,0,1,0,5,2,2,1,0,1,3,2,5
17031130300,0,6,1,0,0,7,2,0,0,0,0,0,0,0
17031140100,0,1,0,0,1,5,2,0,0,0,0,0,1,0
17031140200,0,8,4,0,2,6,4,1,0,1,0,1,1,0
17031140301,0,0,0,0,0,3,2,0,0,0,1,1,1,0
17031140302,0,1,1,0,0,0,1,0,0,0,0,0,0,0
17031140400,1,4,2,0,5,13,5,1,0,0,2,1,9,0
17031140500,1,3,0,0,2,6,2,1,0,0,0,0,3,3
17031140601,0,0,0,0,0,6,2,0,0,0,0,1,3,1
17031140602,0,0,3,0,0,0,0,0,0,0,0,0,2,0
17031140701,0,1,0,2,0,8,5,0,0,0,0,1,2,1
17031140702,1,5,1,0,0,10,3,0,0,0,0,0,3,1
17031140800,0,4,1,0,0,6,3,1,2,0,3,0,2,2
17031150200,1,4,2,5,4,19,5,13,0,0,3,5,13,8
17031150300,3,3,4,2,5,5,4,2,0,0,1,6,6,3
17031150401,0,2,1,0,1,9,4,5,0,0,4,5,5,1
17031150402,1,2,1,1,1,6,3,0,0,0,0,1,3,2
17031150501,0,1,1,0,0,0,0,0,0,0,0,1,0,1
17031150502,0,2,5,1,0,8,2,0,0,0,0,2,1,1
17031150600,0,7,2,0,0,6,0,2,0,0,1,1,2,2
17031150700,5,2,2,0,0,2,1,0,0,0,1,2,2,3
17031150800,1,3,1,1,2,8,1,6,1,1,1,6,5,0
17031151001,0,0,2,0,0,0,2,0,0,0,0,0,0,1
17031151002,1,2,1,0,0,4,2,0,0,0,0,2,0,2
17031151100,1,2,3,0,0,3,4,1,0,0,0,0,1,2
17031151200,0,0,2,0,2,0,2,3,0,0,1,0,1,3
17031160100,1,3,0,1,0,2,2,2,0,0,2,0,0,2
17031160200,2,3,1,0,0,2,1,0,0,0,5,2,1,3
17031160300,3,5,1,0,1,3,2,0,0,0,2,2,1,2
17031160400,3,6,1,2,1,6,4,1,0,0,2,3,4,3
17031160501,1,0,1,0,0,0,4,1,0,0,1,1,0,1
17031160502,0,1,1,0,1,3,3,0,0,0,2,0,1,0
17031160601,0,1,1,0,0,1,2,0,4,0,2,0,1,3
17031160602,0,1,0,0,2,5,2,0,0,0,5,1,1,2
17031160700,0,4,3,0,0,11,1,1,1,0,2,2,5,2
17031160800,2,1,2,0,1,10,2,0,0,0,2,3,4,3
17031160900,0,2,1,0,0,3,1,0,0,0,0,0,1,1
17031161000,1,2,2,0,0,9,0,1,0,0,1,0,2,1
17031161100,1,3,1,0,0,4,0,1,0,0,1,2,1,1
17031161200,0,0,1,0,0,2,0,0,1,0,0,0,0,2
17031161300,2,1,1,1,0,11,3,1,0,0,4,2,3,1
17031170100,2,2,6,3,4,9,3,5,0,0,0,3,6,3
17031170200,0,3,3,0,0,0,1,0,0,0,0,1,3,3
17031170300,1,3,1,0,1,9,3,0,0,0,1,1,1,4
17031170400,1,2,0,0,1,1,0,1,0,0,1,1,1,1
17031170500,1,2,1,0,0,2,0,0,0,0,2,2,0,2
17031170600,0,2,1,0,2,0,0,0,0,0,0,0,0,0
17031170700,0,0,0,0,0,1,0,0,0,0,1,0,0,2
17031170800,0,1,5,0,1,6,1,1,0,0,0,1,2,2
17031170900,0,0,0,0,2,2,0,0,0,0,0,0,0,1
17031171000,0,2,1,0,0,5,4,0,0,0,3,0,0,3
17031171100,0,2,1,0,0,6,1,0,1,0,0,0,0,0
17031180100,1,3,1,0,0,0,1,1,0,0,0,1,2,3
17031190100,1,1,0,0,0,5,2,2,0,0,0,1,5,0
17031190200,1,6,2,0,0,4,3,1,0,0,0,2,1,1
17031190300,0,4,1,0,3,7,4,0,0,0,0,0,2,2
17031190401,0,3,2,3,0,4,1,3,0,0,1,2,1,1
17031190402,0,4,2,0,1,2,3,0,0,0,2,1,3,3
17031190601,0,5,2,1,1,1,2,0,0,0,0,2,0,3
