h3_index,poi_count,count_poi_types,poi_type_list,poi_list
882664cd8dfffff,7,4,"school, kindergarten, place_of_worship, bicycle_rental, bicycle_rental, school, school","Emmanuel Christian School, Little Flower School, Emmanuel Baptist Church, Wood St & 84th St, Damen Ave & 81st St, CICS Ralph Ellison High School, LEARN Hunter Perkins Campus"
882664cd91fffff,10,7,"place_of_worship, shelter, bicycle_rental, bicycle_rental, dentist, place_of_worship, place_of_worship, fast_food, library, car_wash","New Calvary Missionary Baptist Church, Halsted St & 96th St, Vincennes Ave & 95th St, Sonrisa Family Dental, New Covenant Coptic Temple, Baptist Church Without a Spot or Wrinkle, McDonald's, Carter G. Woodson Regional Library"
882664cd93fffff,13,6,"school, gift, motel, convenience, convenience, fuel, fuel, fuel, fuel, place_of_worship, convenience, school, school","Saint Helena School, Edible Arrangements, Motel 6 Chicago - Halsted, BP Shop, Shell, Super Save, Shell, Citgo, BP, Fernwood United Methodist Church, Citgo, Medgar Evers Elementary School, Fernwood Elementary School"
882664cd95fffff,11,7,"cafe, bicycle_rental, motel, variety_store, fast_food, fast_food, school, fast_food, place_of_worship, school, school","Poppin Dough, Loomis St & 95th St, Beverly Motel & Suites, Family Dollar, Subway, Dunkin', Oakdale Christian Academy, Popeyes, Third Baptist Church, Wendell Green Elementary School, Chicago International Charter School Loomis-Longwood"
882664cd97fffff,10,5,"school, school, school, bicycle_rental, childcare, place_of_worship, place_of_worship, clinic, place_of_worship, school","Saint Margaret School, Marra Collins South Preparatory School, Collins South School, Throop St & 99th St, Daycare, Saint Margaret of Scotland Catholic Church, Zion Lutheran Church, Fresenius Kidney Care, Little Zion Baptist Church, Wacker Elementary School"
882664cd99fffff,5,3,"place_of_worship, place_of_worship, bicycle_rental, bicycle_rental, school","Greater Mount Bethel Missionary Baptist Church, Saint Matthew-Gordon African Methodist Episcopal Zion Church, Eggleston Ave & 92nd St, Halsted St & 93rd St, Kipling Elementary School"
882664cd9bfffff,4,3,"school, bicycle_rental, place_of_worship, place_of_worship","Saint Thaddeus School, Princeton Ave & 95th St, Saint Thaddeus Church, Trinity United Church of Christ"
882664cd9dfffff,3,2,"bicycle_rental, school, school","Elizabeth St & 92nd St, Fort Dearborn Elementary School, Evangelical Christian School"
882664cda1fffff,2,2,"clinic, social_facility","Union Health Service, Vet Center"
882664cda5fffff,5,4,"supermarket, clothes, restaurant, restaurant, car_wash","Pete's Market, DTLR, Lawrence's Fish & Shrimp, Chicago's Chicken Coop, Buddy Bear Car Wash"
